,Player,PTS_RBS_AST,College_Year_x,PTS_RBS_AST_College,College_Year_y
175,Shannon Brown,9.626482213438734,Jr.,17.5,Jr.
176,Javaris Crittenton,9.486725663716813,Fr.,23.9,Fr.
177,Nate Wolters,9.469999999999999,Sr.,28.5,Sr.
178,Miles Plumlee,9.381074168797953,Sr.,9.899999999999999,Sr.
179,Marcus Williams,9.325991189427313,Jr.,19.5,So.
180,Marcus Williams,9.325991189427313,Jr.,19.5,Jr.
181,Marcus Williams,9.325991189427313,Jr.,19.5,So.
182,Marcus Williams,9.325991189427313,Jr.,19.5,Jr.
183,Marcus Williams,9.325991189427313,So.,19.5,So.
184,Marcus Williams,9.325991189427313,So.,19.5,Jr.
185,Marcus Williams,9.325991189427313,So.,19.5,So.
186,Marcus Williams,9.325991189427313,So.,19.5,Jr.
187,Marcus Williams,9.325991189427313,Jr.,19.5,So.
188,Marcus Williams,9.325991189427313,Jr.,19.5,Jr.
189,Marcus Williams,9.325991189427313,Jr.,19.5,So.
190,Marcus Williams,9.325991189427313,Jr.,19.5,Jr.
191,Marcus Williams,9.325991189427313,So.,19.5,So.
